"分類: NDC","棚番号-段","タイトル","編著者","発行者","発行年","言語","注記：原著名／仮訳、ISBN等","貴重書","タグ"
"210.2","02-1","平城宮跡  (埋蔵文化財発掘調査報告 5)","文化財保護委員会 編","吉川弘文館","1957","","奈良市佐紀町所在-朝堂院跡北方地域の調査","",""
"210.2","02-1","日光男体山: 山頂遺跡発掘調査報告書","日光二荒山神社 編 ","名著出版","1991.5","","角川書店昭和38年刊の複製 、神道考古学","",""
"210.38","02-1","平泉: 毛越寺と観自在王院の研究","藤島 亥治郎 編","東京大学出版会","1961","","日本--歴史--平安時代,
藤島 亥治郎 (1899-2002)","",""
"521.818","02-1","芝増上寺境内地の歴史的景観 : その建築と都市的空間　　(近世史研究叢書 36)","伊坂道子 著","岩田書院","2013.10","","","",""
"210.46","02-1
　～
03-1","大乗院寺社雑事記　1-12　部分ﾀｲﾄﾙ:尋尊大僧正記　(増補  続史料大成 普及版  26-37)  　　","尋尊 著、増補続史料大成刊行会 編","臨川書店(京都) 　複製","2001.7","","室町時代史料, 尋尊大僧正記 1-9 / 尋尊 著 (自宝徳2年正月至長禄2年11月)","",""
"","","","","","","","","",""
"","","","","","","","","",""
"629.21","02-2","新装版  日本の庭園   第1巻  神と仏の庭","伊藤ていじ（著）,  入江 泰吉（写真）","講談社","1996.5","","伊藤ていじ, 1922-2010, 入江泰吉, 1905-1992","",""
"629.21","02-2","新装版  日本の庭園   第2巻  池泉の庭","牛川 喜幸（著）, 井上 博道（写真）","講談社","1996.9","","牛川 喜幸, 1935-2009,  井上 博道, 1931-2012","",""
"629.21","02-2","新装版  日本の庭園   第3巻  枯山水の庭","重森 完途（著）,   石元 泰博（写真）","講談社","1996.1","","重森 完途, 1923-1992,  石元 泰博, 1921-2012","",""
"629.21","02-2","新装版  日本の庭園   第4巻  茶の庭 ","中村 昌生（著）,  恒成 一訓（写真）","講談社","1995.11","","中村 昌生, 1927-2018,  恒成 一訓, 1920-","",""
"629.21","02-2","新装版  日本の庭園   第5巻  宮廷の庭・大名の庭","中根 金作（著）, 岡本 茂男（写真）","講談社","1996.7","","中根 金作, 1917-1995,  岡本 茂男, 1929-2011","",""
"629.21","02-2","新装版  日本の庭園   第6巻  民家の庭・坪庭","伊藤ていじ（著）,  牧 直視（写真）","講談社","1996.3","","牧 直視, 1926-","",""
"629.21","02-2","日本庭園の思惟 : 生成と観賞の美学","重森 完途 著","日貿出版社","1970","","","",""
